,Precision,Recall,F1-Score,Accuracy
all ,0.983,0.987,0.9849959391,0.9892307692
A,0.953,1,0.9759344598,1
B,0.973,1,0.986315256,1
C,0.972,1,0.985801217,1
D,0.965,1,0.9821882952,1
E,0.983,1,0.9914271306,0.94
F,1,0.954,0.9764585466,0.93
G,1,0.982,0.9909182644,1
H,1,0.974,0.9868287741,1
I,0.973,1,0.986315256,1
J,0.986,1,0.9929506546,1
K,0.987,1,0.9934574736,1
L,0.998,1,0.998998999,1
M,1,0.836,0.9106753813,0.93
N,0.971,1,0.9852866565,1
O,0.977,1,0.9883662114,1
P,0.977,1,0.9883662114,1
Q,1,0.912,0.9539748954,0.92
R,0.963,1,0.981151299,1
S,0.99,1,0.9949748744,1
T,0.985,1,0.9924433249,1
U,0.999,1,0.9994997499,1
V,0.972,1,0.985801217,1
W,0.984,1,0.9919354839,1
X,0.992,1,0.9959839357,1
Y,0.969,1,0.9842559675,1
Z,0.979,1,0.9893885801,1
